date,open,high,low,close,volume,return,ticker
2024-12-30,53300,54000,53100,53200,12624702,-0.931098696461825,005930
2025-01-02,52700,53600,52300,53400,16630538,0.37593984962406013,005930
2025-01-03,52800,55100,52800,54400,19318046,1.8726591760299627,005930
2025-01-06,54400,56200,54300,55900,19034284,2.7573529411764706,005930
2025-01-07,56800,57300,55400,55400,17030235,-0.8944543828264758,005930
2025-01-08,54800,57500,54700,57300,26593553,3.429602888086643,005930
2025-01-09,57600,57700,56100,56100,24490592,-2.094240837696335,005930
2025-01-10,56100,56500,55200,55300,16059223,-1.4260249554367201,005930
2025-01-13,54600,55000,54100,54100,16868600,-2.1699819168173597,005930
2025-01-14,54200,54600,53700,53900,17465926,-0.36968576709796674,005930
2025-01-15,54100,54700,53500,53700,18625025,-0.3710575139146568,005930
2025-01-16,54200,55000,54100,54300,18627298,1.1173184357541899,005930
2025-01-17,53800,54100,53200,53700,18805344,-1.1049723756906076,005930
2025-01-20,53600,53900,53300,53400,11822531,-0.5586592178770949,005930
2025-01-21,53700,54300,53300,53500,13535702,0.18726591760299627,005930
2025-01-22,53400,54400,53100,54300,18341991,1.4953271028037385,005930
2025-01-23,53700,54100,53500,53700,15588067,-1.1049723756906076,005930
2025-01-24,53600,53800,53200,53700,11867631,0.0,005930
2025-01-31,52200,53000,51700,52400,42186279,-2.4208566108007448,005930
2025-02-03,51100,51400,50800,51000,32344897,-2.6717557251908395,005930
2025-02-04,51600,53600,51500,52700,27214851,3.3333333333333335,005930
2025-02-05,53600,53800,52800,52900,15974885,0.3795066413662239,005930
2025-02-06,53400,54000,53200,54000,16466025,2.0793950850661624,005930
2025-02-07,53900,54200,53600,53700,14476866,-0.5555555555555556,005930
2025-02-10,53000,55900,52900,55600,27577591,3.5381750465549344,005930
2025-02-11,55500,56300,55000,55700,24596196,0.1798561151079137,005930
2025-02-12,55100,55900,54500,55800,26428596,0.17953321364452424,005930
2025-02-13,56100,56400,55600,55800,22448377,0.0,005930
2025-02-14,56000,57300,56000,56000,23979779,0.35842293906810035,005930
2025-02-17,56100,56500,55700,56000,11916027,0.0,005930
2025-02-18,56200,57200,55900,56900,22131007,1.607142857142857,005930
2025-02-19,57400,58900,57300,58700,25395151,3.163444639718805,005930
2025-02-20,59100,59100,58100,58400,21589059,-0.5110732538330494,005930
2025-02-21,58400,58500,57100,58200,22198428,-0.3424657534246575,005930
2025-02-24,57300,57700,57200,57300,14138471,-1.5463917525773196,005930
2025-02-25,56600,57800,56500,57200,14625181,-0.17452006980802792,005930
2025-02-26,57000,57100,56100,56600,18117091,-1.048951048951049,005930
2025-02-27,56500,57100,56200,56300,14975356,-0.5300353356890459,005930
2025-02-28,55400,55700,54500,54500,28036698,-3.197158081705151,005930
2025-03-04,53900,55000,53800,54500,18553933,0.0,005930
2025-03-05,55100,55400,54000,54000,16578817,-0.9174311926605505,005930
2025-03-06,54100,54500,54000,54300,12258101,0.5555555555555556,005930
2025-03-07,53500,54200,53400,53700,14274992,-1.1049723756906076,005930
2025-03-10,53500,54800,53500,53700,12921670,0.0,005930
2025-03-11,52500,54100,52500,53600,17740891,-0.186219739292365,005930
2025-03-12,53800,55300,53600,54900,17973221,2.425373134328358,005930
2025-03-13,55800,55900,54200,54700,24132151,-0.36429872495446264,005930
2025-03-14,54500,55100,54400,54700,10845154,0.0,005930
2025-03-17,55500,57800,55400,57600,35559021,5.301645338208409,005930
2025-03-18,58800,59000,57300,57600,28138594,0.0,005930
2025-03-19,57400,59200,57400,58500,29421759,1.5625,005930
2025-03-20,59200,60300,58500,60200,34989004,2.905982905982906,005930
2025-03-21,60900,61700,60400,61700,40155612,2.4916943521594686,005930
2025-03-24,61200,61600,60500,60500,14088094,-1.9448946515397085,005930
2025-03-25,60900,61100,59500,59800,17259455,-1.1570247933884297,005930
2025-03-26,59800,61400,59700,61400,16431645,2.6755852842809364,005930
2025-03-27,60900,62000,60800,61800,20389790,0.6514657980456027,005930
2025-03-28,60700,61100,60000,60200,16282514,-2.5889967637540456,005930
2025-03-31,59500,59700,57800,57800,17633494,-3.9867109634551494,005930
2025-04-01,58700,59600,57900,58800,13841706,1.7301038062283738,005930
2025-04-02,58800,59400,58300,58800,14402297,0.0,005930
2025-04-03,56900,57800,56900,57600,19508076,-2.0408163265306123,005930
2025-04-04,56200,58200,55700,56100,23527139,-2.604166666666667,005930
2025-04-07,53300,54100,53100,53200,31998883,-5.169340463458111,005930
2025-04-08,55000,55300,53300,53500,25532845,0.5639097744360901,005930
2025-04-09,53300,54300,52900,53000,20576960,-0.9345794392523363,005930
2025-04-10,56600,56700,55000,56400,22948172,6.415094339622642,005930
2025-04-11,55600,55700,54800,55200,13930480,-2.127659574468085,005930
2025-04-14,56300,56700,55800,56200,12852613,1.8115942028985508,005930
2025-04-15,56300,57100,56200,56600,8998640,0.7117437722419928,005930
2025-04-16,56000,56200,54500,54700,14437025,-3.356890459363958,005930
2025-04-17,54700,55300,54500,55100,10867069,0.7312614259597806,005930
2025-04-18,55300,55600,54900,55300,5848342,0.3629764065335753,005930
2025-04-21,55200,56000,55100,55400,5941847,0.18083182640144665,005930
2025-04-22,54900,55500,54700,55000,9532469,-0.7220216606498195,005930
2025-04-23,56000,56100,55500,55700,11148692,1.2727272727272727,005930
2025-04-24,55600,55800,55200,55700,10580377,0.0,005930
2025-04-25,56400,56400,55600,55700,12183303,0.0,005930
2025-04-28,55800,55900,55500,55800,9341518,0.17953321364452424,005930
2025-04-29,55700,56500,55600,55800,10295518,0.0,005930
2025-04-30,55900,56000,55300,55500,13014189,-0.5376344086021506,005930
2025-05-02,55000,55500,54200,54300,22454204,-2.1621621621621623,005930
2025-05-07,54500,55000,54300,54600,17136991,0.5524861878453038,005930
2025-05-08,55100,55500,54500,54600,16320532,0.0,005930
2025-05-09,54700,55000,54400,54800,7814322,0.3663003663003663,005930
2025-05-12,55200,57600,55000,57600,15414702,5.109489051094891,005930
2025-05-13,57700,58200,56800,56900,16842801,-1.215277777777778,005930
2025-05-14,57500,57900,57000,57400,12468089,0.8787346221441126,005930
2025-05-15,57400,58600,57100,57300,13139736,-0.17421602787456447,005930
2025-05-16,57400,57500,56700,56800,10385352,-0.8726003490401396,005930
2025-05-19,56400,56400,55500,55800,9802105,-1.7605633802816902,005930
2025-05-20,56200,56700,55700,55900,9080577,0.17921146953405018,005930
2025-05-21,56200,56600,55700,55700,7794181,-0.35778175313059035,005930
2025-05-22,55300,55500,54500,54700,15254278,-1.7953321364452424,005930
2025-05-23,55000,55200,54100,54200,11247115,-0.9140767824497258,005930
2025-05-26,53900,55000,53700,54700,10901337,0.9225092250922509,005930
2025-05-27,54200,54500,53800,53900,13439520,-1.4625228519195612,005930
2025-05-28,54300,56100,54200,55900,17516283,3.710575139146568,005930
2025-05-29,56200,56400,55600,56100,12936810,0.35778175313059035,005930
2025-05-30,56200,57200,55800,56200,26219683,0.17825311942959002,005930
2025-06-02,56300,57300,56200,56800,12870515,1.0676156583629894,005930
2025-06-04,57200,57900,56800,57800,19649983,1.7605633802816902,005930
2025-06-05,58100,59900,57900,59100,23266027,2.249134948096886,005930
2025-06-09,60400,60400,59500,59800,19609659,1.1844331641285957,005930
2025-06-10,60000,60100,58800,59200,15305760,-1.0033444816053512,005930
2025-06-11,59500,60100,59400,59900,13610734,1.1824324324324325,005930
2025-06-12,59700,60000,59300,59500,17755115,-0.667779632721202,005930
2025-06-13,60200,60200,57700,58300,20705979,-2.0168067226890756,005930
2025-06-16,58000,58100,56900,57200,22200872,-1.8867924528301887,005930
2025-06-17,57800,59800,57400,58100,28637003,1.5734265734265735,005930
2025-06-18,58000,59800,57900,59800,17620705,2.9259896729776247,005930
2025-06-19,60500,60600,59000,59200,16876278,-1.0033444816053512,005930
2025-06-20,59400,59800,59100,59500,18072251,0.5067567567567568,005930
2025-06-23,58400,58500,57600,58000,16551694,-2.5210084033613445,005930
2025-06-24,59400,60600,59300,60500,23737899,4.310344827586207,005930
2025-06-25,61500,61600,60300,61300,23933612,1.322314049586777,005930
2025-06-26,61300,61300,59900,60200,19402300,-1.794453507340946,005930
2025-06-27,60100,61600,60000,60800,17340470,0.9966777408637874,005930
2025-06-30,61200,61200,59800,59800,17110294,-1.644736842105263,005930
2025-07-01,60400,61100,60200,60200,13650991,0.6688963210702341,005930
2025-07-02,60200,60900,59800,60800,15047951,0.9966777408637874,005930
2025-07-03,61300,63800,61100,63800,32040639,4.934210526315789,005930
2025-07-04,64700,64700,63000,63300,23748959,-0.7836990595611284,005930
2025-07-07,62900,63300,61700,61700,17164708,-2.527646129541864,005930
2025-07-08,61600,62400,61000,61400,20213724,-0.48622366288492713,005930
2025-07-09,61400,61400,60200,60400,17533415,-1.6286644951140066,005930
2025-07-10,60600,61200,60400,61000,14768473,0.9933774834437087,005930
2025-07-11,61300,62800,61200,62600,19140650,2.622950819672131,005930
2025-07-14,62300,62600,61800,62500,13563846,-0.1597444089456869,005930
2025-07-15,62300,63800,62000,63700,18442202,1.92,005930
2025-07-16,63700,64700,63100,64700,23042660,1.5698587127158554,005930
2025-07-17,65900,66800,64400,66700,39448683,3.091190108191654,005930
2025-07-18,67000,67800,66300,67100,23951531,0.5997001499250375,005930
2025-07-21,67400,68800,67200,67800,17723148,1.0432190760059614,005930
2025-07-22,68100,68500,65600,66000,20829006,-2.6548672566371683,005930
2025-07-23,66200,66500,64900,66400,15687058,0.6060606060606061,005930
2025-07-24,66500,66800,65900,66000,12660193,-0.6024096385542169,005930
2025-07-25,65700,66300,65500,65900,8080910,-0.15151515151515152,005930
2025-07-28,68200,70400,67200,70400,35332500,6.828528072837632,005930
2025-07-29,70800,70800,68800,70600,28190940,0.2840909090909091,005930
2025-07-30,71000,73700,70600,72600,34761444,2.8328611898017,005930
2025-07-31,73000,74000,71000,71400,26568072,-1.6528925619834711,005930
2025-08-01,70200,72000,68800,68900,24038534,-3.5014005602240896,005930
2025-08-04,69500,70200,68700,69700,14780072,1.1611030478955007,005930
2025-08-05,71000,71500,69700,69900,14392903,0.2869440459110474,005930
2025-08-06,69200,69400,68300,68800,12542415,-1.5736766809728182,005930
2025-08-07,70800,71000,69700,70500,15008213,2.4709302325581395,005930
2025-08-08,71000,72400,70700,71800,22241128,1.8439716312056738,005930
2025-08-11,72000,72100,70800,71000,11354253,-1.1142061281337048,005930
2025-08-12,71100,72400,71100,71100,15797656,0.14084507042253522,005930
2025-08-13,71900,72100,71400,71900,12305742,1.1251758087201125,005930
2025-08-14,71900,71900,71200,71600,11946122,-0.4172461752433936,005930
